Dbase,Accession Number,Name,Taxon,Species,Sex,Maturity,Date Admitted,Date_Admit,AdmitYr,AdmitMo, Rescue Location,Suburb,Jurisdiction,Cause of Affliction, Categories,Anatomical,Aetiological,Updated Anatomical, Updated Aetiological,Status,Status Date,Status Date2,StatusYr,StatusMo,,,,
EzyVet,152959,Cade,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,adult,2025-08-09,9/8/2025,2025,Aug,Kings Beach,KINGS BEACH,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in hospital,10/08/2025,10/8/2025,2025,Aug,,,,
EzyVet,153023,Mudji,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-08-09,9/8/2025,2025,Aug,Mudjimba Beach ,MUDJIMBA,Sunshine Coast Regional Council,beach stranding,infection/disease,metabolic/nutritional,emaciation/exhaustion,,,died in hospital,10/08/2025,10/8/2025,2025,Aug,,,,
EzyVet,153036,Morpheus,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-08-09,9/8/2025,2025,Aug,Peregian Beach,PEREGIAN BEACH,Sunshine Coast Regional Council,overt signs of disease,infection/disease,metabolic/nutritional,floater - emaciation/exhaustion,,,euthanised,10/08/2025,10/8/2025,2025,Aug,,,,
EzyVet,152909,Sunny,Reptile - Snake - Marine,Elegant Sea Snake,Male,adult,2025-08-06,6/8/2025,2025,Aug,David Low Way,SUNSHINE BEACH,Sunshine Coast Regional Council,overt signs of disease,infection/disease,git,gastro-intestinal: other,,,euthanised,06/08/2025,6/8/2025,2025,Aug,,,,
EzyVet,152891,Nellie,Reptile - Snake - Marine,Yellow-Bellied Sea Snake,Female,adult,2025-08-03,3/8/2025,2025,Aug,Noosa Heads,NOOSA HEADS,Sunshine Coast Regional Council,beach stranding,trauma,musculoskeletal,soft tissue injury,,,euthanised,06/08/2025,6/8/2025,2025,Aug,,,,
EzyVet,152735,Noodles,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,adult,2025-07-29,29/7/2025,2025,Jul,Marcoola Esplanade,MARCOOLA,Sunshine Coast Regional Council,beach stranding,infection/disease,git - haematopoletic,anaemia: other - gastro-intestinal: other - dental/periodontal disease/injury,,,euthanised,29/07/2025,29/7/2025,2025,Jul,,,,
EzyVet,150898,Cherryl,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,sub adult,2025-05-11,11/5/2025,2025,May,Warana,WARANA,Sunshine Coast Regional Council,natural predation,trauma,musculoskeletal,fracture: spine,,,euthanised,12/05/2025,12/5/2025,2025,May,,,,
EzyVet,150236,.,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-04-13,13/4/2025,2025,Apr,Coolum Beach,COOLUM BEACH,Sunshine Coast Regional Council,beach stranding,trauma,musculoskeletal,fracture: spine,,,euthanised,13/04/2025,13/4/2025,2025,Apr,,,,
EzyVet,150036,Martini,Reptile - Snake - Marine,Olive-Headed Sea Snake,Unknown Sex,juvenile,2025-04-09,9/4/2025,2025,Apr,Peregian Beach,PEREGIAN BEACH,Sunshine Coast Regional Council,beach stranding,trauma,musculoskeletal - skin/feathers/scales - ocular,fracture: ribs - soft tissue injury - eye injury,,,euthanised,09/04/2025,9/4/2025,2025,Apr,,,,
EzyVet,149728,Sheila,Reptile - Snake - Marine,Elegant Sea Snake,Unknown Sex,adult,2025-03-29,29/3/2025,2025,Mar,249 Ninderry Rd,NINDERRY,Sunshine Coast Regional Council,beach stranding,other,metabolic/nutritional,exhaustion,,,in hospital,,,,,,,,
